Job Title,Monthly Salary
Website Designer & Developer,360000
Operations executive,24000
Intern - Software Development [Fresher],20000
Trainee Web Developer,25000
Business Development,32223.555
Trainee - Quality,26000
Modelling,37500
HR Intern,13043
Computer Hardware & Networking Engineer,5750
Technical Marketing,450000
"Data Entry (Fresher), Tiruppur",12000
Staff Trainee,162500
Video Editor in Coimbatore,14000
Web Developer Trainees (Freshers),40000
Office Assistant,10043
Business Development Associate,27500
Looking for Course Counsellors/Tele callers on Commission Basis,50000
Software Trainee,6500
Trainee,16500
Service Engineer(Trainee),30000
Business Development Associate,25352.98
Accounting Faculty,11500
Production Co-ordinator,16500
Female Allocation Executive,21500
Delivery Executive/Delivery Partner,26500
Electrical Assembler,20000
Architect,26500
Sales Officer (SO),20000
Project Assistant,13968.52
Content Writer-Remote,250000
Customer Relationship Executive - B2B,17000
Office Assistant,15319.265
FRESHER graduate (Any Field),235000
Purchase Assistant,13000
AutoCAD Draftsman,15000
"Staff Nurse,ANM, GNM,",12500
WANTED B.E CIVIL CANDIDATES WITH CAD KNOWLEDGE,17000
Digital Marketing Specialist,240000
Spot Offer for Customer Support Executive,14000
Associate Sales Manager,40000
Assembly Line Operator,14000
Field Marketing Executive,18808.07
Receptionist (Female),11000
Doctor,22500
Staff Nurse- Female,17500
Business Development Executive (BDE),14000
Customer Service Representative,12500
Female Customer Care Executive (Surat),13000
Sales Representative,12500
Travel Consultant (FEMALE ONLY),20000
Digital Marketing Executive,7000
Lead Generation Specialist,280000
Assembly Technician cum Winding Technician,13500
Business Development Associate,40000
Urgent Requirements of CHEMISTRY Teacher for NEET & JEE Main level,480000
Digital Marketing Specialist,25000
Field Executive,11000
Telecaller Executive,11500
Bussiness Development Executive,11500
Inbound Banking Hindi Voice Process,15000
Consultant Doctor,22500
Architectural Draftsperson,16500
Sales and Customer Service Executive,20000
Aesthetic Surgeon,47500
Robotics / STEM Trainer,330000
Diploma Mechanical Engineer - Design Engineer Trainee,14000
Business Development Executive (BDE),25000
Sales Staff,15500
STUDY ABROAD Admission Process Associate,11500
Delivery Partner/Delivery Executive,32500
Software Sales Executive,21113.295
Tele Caller Executive,10250
Tele Calling Executive,17500
Territory Sales Officer,18000
Draughtsman Mechanical,14000
Business Development Executive,23000
Restaurant Staff,27500
Aesthetic Surgeon,47500
JUNIOR ARCHITECT,20000
Delivery Partner/Delivery Executive,25000
Interior Designer,240000
"Inside Sales Account Manager - - Preferred from Hyderabad, TS",250000
Community Associate (Social Worker),18500
Tele Marketing Executive,17500
Customer Relationship Executive (for Rajkot candidate only),17500
Business Development Officer,20512.635
Delivery Executive/Delivery Partner,26500
Staff Nurse (Dermatology; Nungambakkam Chennai),22000
Stock Market Trader,125000
Sales executive-(MBA Freshers),17500
Sales Executive / Sales Manager - Real Estate,25000
Junior Sales and Marketing Executive (Healthcare),17500
Hairdresser,20000
Commis Chef,16559.25
Inside Sales Executive,20000
Site Engineer,20000
Sales & Marketing Assistant manager,19000
Trainee,11000
Lead Generation Executive,11500
Sales & Marketing Assistant manager,21000
Physiotherapist,18875.105
Site Engineer,12800.575
Renewals Executive,11500
Electrical Engineer,17500
Field Sales Representative,27500
Back Office Executive (Operations Insurance),15250
Sales & Marketing Officer,16500
Field Sales Representative,20000
